Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","2017-18 
CALPADS Fall 1 
Certification Status"
2017-2018,37,68338,6096051,San Diego,San Diego Unified,Hancock Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,634,200,31.5%,447,70.5%,612,194,31.7%,430,70.3%,Y
2017-2018,37,68338,6096598,San Diego,San Diego Unified,Standley Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1034,322,31.1%,409,39.6%,1034,322,31.1%,409,39.6%,Y
2017-2018,37,68338,6096879,San Diego,San Diego Unified,Dailard Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,527,66,12.5%,89,16.9%,515,66,12.8%,88,17.1%,Y
2017-2018,37,68338,6097844,San Diego,San Diego Unified,Wangenheim Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,938,389,41.5%,510,54.4%,938,389,41.5%,510,54.4%,Y
2017-2018,37,68338,6099055,San Diego,San Diego Unified,Doyle Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,716,204,28.5%,245,34.2%,696,198,28.4%,239,34.3%,Y
2017-2018,37,68338,6099063,San Diego,San Diego Unified,Farb Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,421,176,41.8%,289,68.6%,421,176,41.8%,289,68.6%,Y
2017-2018,37,68338,6099071,San Diego,San Diego Unified,Jerabek Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,664,43,6.5%,53,8.0%,651,40,6.1%,50,7.7%,Y
2017-2018,37,68338,6099089,San Diego,San Diego Unified,Vista Grande Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,401,108,26.9%,177,44.1%,389,107,27.5%,173,44.5%,Y
2017-2018,37,68338,6106173,San Diego,San Diego Unified,Bethune K-8,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,622,297,47.7%,386,62.1%,609,292,47.9%,379,62.2%,Y
2017-2018,37,68338,6106181,San Diego,San Diego Unified,De Portola Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,898,241,26.8%,393,43.8%,898,241,26.8%,393,43.8%,Y
2017-2018,37,68338,6106199,San Diego,San Diego Unified,Zamorano Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,1111,652,58.7%,841,75.7%,1084,636,58.7%,820,75.6%,Y
2017-2018,37,68338,6107056,San Diego,San Diego Unified,Challenger Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,971,300,30.9%,410,42.2%,971,300,30.9%,410,42.2%,Y
2017-2018,37,68338,6109599,San Diego,San Diego Unified,Hage Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,689,190,27.6%,256,37.2%,671,187,27.9%,253,37.7%,Y
2017-2018,37,68338,6112460,San Diego,San Diego Unified,Kumeyaay Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,431,61,14.2%,80,18.6%,426,60,14.1%,79,18.5%,Y
2017-2018,37,68338,6112478,San Diego,San Diego Unified,Nye Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,421,216,51.3%,295,70.1%,411,214,52.1%,292,71.0%,Y
2017-2018,37,68338,6112726,San Diego,San Diego Unified,Dingeman Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,782,47,6.0%,56,7.2%,771,46,6.0%,55,7.1%,Y
2017-2018,37,68338,6113211,San Diego,San Diego Unified,McGill School of Success,Unified School District,Elementary Schools (Public),Traditional,CEP,Yes,0095,Directly funded,Y,K,5,157,121,77.1%,149,94.9%,149,113,75.8%,141,94.6%,Y
2017-2018,37,68338,6114060,San Diego,San Diego Unified,Clark Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,No ,N/A,N/A,N,6,8,1020,824,80.8%,919,90.1%,1020,824,80.8%,919,90.1%,Y
2017-2018,37,68338,6114292,San Diego,San Diego Unified,Kimbrough Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,345,313,90.7%,341,98.8%,342,310,90.6%,338,98.8%,Y
2017-2018,37,68338,6114300,San Diego,San Diego Unified,Chavez Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,481,402,83.6%,458,95.2%,467,390,83.5%,444,95.1%,Y
2017-2018,37,68338,6114375,San Diego,San Diego Unified,Rosa Parks Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,974,856,87.9%,929,95.4%,962,844,87.7%,917,95.3%,Y
2017-2018,37,68338,6115331,San Diego,San Diego Unified,Marshall Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1509,154,10.2%,181,12.0%,1509,154,10.2%,181,12.0%,Y
2017-2018,37,68338,6115570,San Diego,San Diego Unified,Museum,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,0081,Directly funded,Y,K,8,232,39,16.8%,42,18.1%,232,39,16.8%,42,18.1%,Y
2017-2018,37,68338,6117279,San Diego,San Diego Unified,Holly Drive Leadership Academy,Unified School District,Elementary Schools (Public),Traditional,CEP,Yes,0264,Directly funded,Y,K,8,132,105,79.5%,114,86.4%,130,103,79.2%,112,86.2%,Y
2017-2018,37,68338,6117683,San Diego,San Diego Unified,High Tech Elementary Explorer,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,0278,Directly funded,Y,K,5,357,93,26.1%,137,38.4%,357,93,26.1%,137,38.4%,Y
2017-2018,37,68338,6119135,San Diego,San Diego Unified,Scripps Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,751,45,6.0%,59,7.9%,739,45,6.1%,59,8.0%,Y
2017-2018,37,68338,6119168,San Diego,San Diego Unified,San Diego Cooperative Charter,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,0396,Directly funded,Y,K,8,465,95,20.4%,127,27.3%,455,92,20.2%,123,27.0%,Y
2017-2018,37,68338,6119598,San Diego,San Diego Unified,King-Chavez Academy of Excellence,Unified School District,Elementary Schools (Public),Traditional,CEP,Yes,0420,Directly funded,Y,K,8,311,274,88.1%,298,95.8%,311,274,88.1%,298,95.8%,Y
2017-2018,37,68338,6120935,San Diego,San Diego Unified,Albert Einstein Academy Charter Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,0488,Directly funded,Y,K,5,797,243,30.5%,294,36.9%,797,243,30.5%,294,36.9%,Y
2017-2018,37,68346,0000001,San Diego,San Dieguito Union High,"Nonpublic, Nonsectarian Schools",High School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41,2,4.9%,2,4.9%,28,2,7.1%,2,7.1%,Y
2017-2018,37,68346,0106328,San Diego,San Dieguito Union High,Canyon Crest Academy,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2576,127,4.9%,140,5.4%,2522,125,5.0%,138,5.5%,Y
2017-2018,37,68346,0131649,San Diego,San Dieguito Union High,Pacific Trails Middle,High School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,671,61,9.1%,69,10.3%,671,61,9.1%,69,10.3%,Y
2017-2018,37,68346,3730033,San Diego,San Dieguito Union High,Torrey Pines High,High School District,High Schools (Public),Traditional,Breakfast Provision 2,No ,N/A,N/A,N,9,12,2418,242,10.0%,261,10.8%,2342,235,10.0%,254,10.8%,Y
2017-2018,37,68346,3731007,San Diego,San Dieguito Union High,La Costa Canyon High,High School District,High Schools (Public),Traditional,Breakfast Provision 2,No ,N/A,N/A,N,9,12,1935,205,10.6%,216,11.2%,1846,191,10.3%,201,10.9%,Y
2017-2018,37,68346,3737384,San Diego,San Dieguito Union High,Sunset High (Continuation),High School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,114,26,22.8%,28,24.6%,99,24,24.2%,26,26.3%,Y
2017-2018,37,68346,3737418,San Diego,San Dieguito Union High,San Dieguito High Academy,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1902,259,13.6%,282,14.8%,1862,254,13.6%,276,14.8%,Y
2017-2018,37,68346,6059737,San Diego,San Dieguito Union High,Oak Crest Middle,High School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,703,145,20.6%,155,22.0%,703,145,20.6%,155,22.0%,Y
2017-2018,37,68346,6061998,San Diego,San Dieguito Union High,Earl Warren Middle,High School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,600,69,11.5%,84,14.0%,600,69,11.5%,84,14.0%,Y
2017-2018,37,68346,6104749,San Diego,San Dieguito Union High,Diegueno Middle,High School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,945,99,10.5%,107,11.3%,945,99,10.5%,107,11.3%,Y
2017-2018,37,68346,6117352,San Diego,San Dieguito Union High,Carmel Valley Middle,High School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,1158,67,5.8%,70,6.0%,1158,67,5.8%,70,6.0%,Y
2017-2018,37,68353,6040331,San Diego,San Pasqual Union Elementary,San Pasqual Union Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,587,119,20.3%,132,22.5%,575,116,20.2%,129,22.4%,Y
2017-2018,37,68361,0000001,San Diego,Santee,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,3,27.3%,3,27.3%,11,3,27.3%,3,27.3%,Y
2017-2018,37,68361,6040349,San Diego,Santee,Cajon Park Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,1002,334,33.3%,390,38.9%,997,332,33.3%,388,38.9%,Y
2017-2018,37,68361,6040356,San Diego,Santee,Carlton Hills Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,633,212,33.5%,258,40.8%,621,209,33.7%,255,41.1%,Y
2017-2018,37,68361,6040364,San Diego,Santee,Chet F. Harritt Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,636,236,37.1%,311,48.9%,625,230,36.8%,305,48.8%,Y
2017-2018,37,68361,6040372,San Diego,Santee,Pepper Drive Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,978,495,50.6%,574,58.7%,968,491,50.7%,570,58.9%,Y
2017-2018,37,68361,6040380,San Diego,Santee,PRIDE Academy at Prospect Avenue,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,564,251,44.5%,321,56.9%,555,247,44.5%,317,57.1%,Y
2017-2018,37,68361,6040406,San Diego,Santee,Sycamore Canyon Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,361,66,18.3%,83,23.0%,345,62,18.0%,78,22.6%,Y
2017-2018,37,68361,6068159,San Diego,Santee,Carlton Oaks Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,838,198,23.6%,254,30.3%,838,198,23.6%,254,30.3%,Y
2017-2018,37,68361,6085153,San Diego,Santee,Rio Seco Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,987,289,29.3%,337,34.1%,987,289,29.3%,337,34.1%,Y
2017-2018,37,68361,6085161,San Diego,Santee,Hill Creek Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,751,267,35.6%,296,39.4%,737,261,35.4%,290,39.3%,Y
2017-2018,37,68361,6111041,San Diego,Santee,Santee Alternative,Elementary School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,8,24,7,29.2%,7,29.2%,24,7,29.2%,7,29.2%,Y
2017-2018,37,68361,6120190,San Diego,Santee,Santee Success Program,Elementary School District,District Community Day Schools,Community Day School,N/A,No ,N/A,N/A,N,K,8,3,1,33.3%,1,33.3%,3,1,33.3%,1,33.3%,Y
2017-2018,37,68379,0000001,San Diego,San Ysidro Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,50.0%,1,50.0%,2,1,50.0%,1,50.0%,Y
2017-2018,37,68379,0123000,San Diego,San Ysidro Elementary,Willow Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,789,549,69.6%,570,72.2%,775,538,69.4%,559,72.1%,Y
2017-2018,37,68379,0125518,San Diego,San Ysidro Elementary,Vista Del Mar,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,3,425,160,37.6%,175,41.2%,425,160,37.6%,175,41.2%,Y
2017-2018,37,68379,6085146,San Diego,San Ysidro Elementary,Smythe Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,706,511,72.4%,521,73.8%,695,504,72.5%,514,74.0%,Y
2017-2018,37,68379,6089007,San Diego,San Ysidro Elementary,La Mirada Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,424,319,75.2%,338,79.7%,414,313,75.6%,332,80.2%,Y
2017-2018,37,68379,6093264,San Diego,San Ysidro Elementary,Sunset Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,P,6,723,506,70.0%,528,73.0%,723,506,70.0%,528,73.0%,Y
2017-2018,37,68379,6098453,San Diego,San Ysidro Elementary,San Ysidro Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,7,8,655,472,72.1%,486,74.2%,655,472,72.1%,486,74.2%,Y
2017-2018,37,68379,6119341,San Diego,San Ysidro Elementary,Ocean View Hills,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,P,6,1009,357,35.4%,405,40.1%,991,348,35.1%,396,40.0%,Y
2017-2018,37,68387,0105825,San Diego,Solana Beach Elementary,Solana Pacific Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,4,6,512,29,5.7%,33,6.4%,512,29,5.7%,33,6.4%,Y
2017-2018,37,68387,0129049,San Diego,Solana Beach Elementary,Solana Ranch Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,555,21,3.8%,25,4.5%,555,21,3.8%,25,4.5%,Y
2017-2018,37,68387,6040455,San Diego,Solana Beach Elementary,Skyline Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,494,76,15.4%,87,17.6%,494,76,15.4%,87,17.6%,Y
2017-2018,37,68387,6070882,San Diego,Solana Beach Elementary,Solana Vista Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,3,380,77,20.3%,93,24.5%,380,77,20.3%,93,24.5%,Y
2017-2018,37,68387,6106140,San Diego,Solana Beach Elementary,Solana Highlands Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,3,311,16,5.1%,17,5.5%,311,16,5.1%,17,5.5%,Y
2017-2018,37,68387,6111181,San Diego,Solana Beach Elementary,Solana Santa Fe Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,332,29,8.7%,37,11.1%,332,29,8.7%,37,11.1%,Y
2017-2018,37,68387,6112353,San Diego,Solana Beach Elementary,Carmel Creek Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,3,332,19,5.7%,22,6.6%,332,19,5.7%,22,6.6%,Y
2017-2018,37,68395,0000001,San Diego,South Bay Union,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,1,33.3%,1,33.3%,3,1,33.3%,1,33.3%,Y
2017-2018,37,68395,6040463,San Diego,South Bay Union,Bayside STEAM Academy,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,534,368,68.9%,393,73.6%,522,358,68.6%,382,73.2%,Y
2017-2018,37,68395,6040471,San Diego,South Bay Union,Central Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,552,397,71.9%,453,82.1%,552,397,71.9%,453,82.1%,Y
2017-2018,37,68395,6040489,San Diego,South Bay Union,Emory Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,540,321,59.4%,368,68.1%,534,318,59.6%,365,68.4%,Y
2017-2018,37,68395,6040505,San Diego,South Bay Union,Imperial Beach Charter,Elementary School District,Elementary Schools (Public),Traditional,N/A,Yes,1418,Locally funded,N,K,8,923,439,47.6%,539,58.4%,904,429,47.5%,528,58.4%,Y
2017-2018,37,68395,6040513,San Diego,South Bay Union,Nestor Language Academy Charter,Elementary School District,Elementary Schools (Public),Traditional,N/A,Yes,1252,Locally funded,N,K,8,982,411,41.9%,595,60.6%,969,404,41.7%,584,60.3%,Y
2017-2018,37,68395,6040521,San Diego,South Bay Union,Oneonta Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,522,318,60.9%,372,71.3%,511,312,61.1%,365,71.4%,Y
2017-2018,37,68395,6040539,San Diego,South Bay Union,Sunnyslope Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,531,345,65.0%,375,70.6%,526,342,65.0%,372,70.7%,Y
2017-2018,37,68395,6067029,San Diego,South Bay Union,Godfrey G. Berry Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,500,345,69.0%,403,80.6%,490,338,69.0%,395,80.6%,Y
2017-2018,37,68395,6094973,San Diego,South Bay Union,Howard Pence Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,696,497,71.4%,570,81.9%,686,491,71.6%,563,82.1%,Y
2017-2018,37,68395,6098487,San Diego,South Bay Union,George Nicoloff Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,799,491,61.5%,551,69.0%,784,484,61.7%,542,69.1%,Y
2017-2018,37,68395,6116008,San Diego,South Bay Union,Teofilo Mendoza,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,797,555,69.6%,624,78.3%,783,545,69.6%,614,78.4%,Y
2017-2018,37,68403,0125401,San Diego,Spencer Valley Elementary,Insight @ San Diego,Elementary School District,K-12 Schools (Public),Traditional,N/A,Yes,1371,Directly funded,Y,K,12,207,111,53.6%,139,67.1%,164,84,51.2%,105,64.0%,Y
2017-2018,37,68403,6040554,San Diego,Spencer Valley Elementary,Spencer Valley Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,40,14,35.0%,17,42.5%,38,13,34.2%,16,42.1%,Y
2017-2018,37,68403,6120893,San Diego,Spencer Valley Elementary,California Virtual Academy @ San Diego,Elementary School District,K-12 Schools (Public),Traditional,N/A,Yes,0493,Directly funded,Y,K,12,2107,935,44.4%,1131,53.7%,2065,916,44.4%,1105,53.5%,Y
2017-2018,37,68411,0000000,San Diego,Sweetwater Union High,District Office,High School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,K,Adult,404,232,57.4%,248,61.4%,277,155,56.0%,167,60.3%,Y
2017-2018,37,68411,0000001,San Diego,Sweetwater Union High,"Nonpublic, Nonsectarian Schools",High School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,90,20,22.2%,21,23.3%,62,18,29.0%,19,30.6%,Y
2017-2018,37,68411,0111831,San Diego,Sweetwater Union High,Olympian High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2495,554,22.2%,679,27.2%,2442,532,21.8%,655,26.8%,Y
2017-2018,37,68411,0115873,San Diego,Sweetwater Union High,East Hills Academy,High School District,Special Education Schools (Public),Special Education School,N/A,No ,N/A,N/A,N,7,12,80,42,52.5%,55,68.8%,55,28,50.9%,36,65.5%,Y
2017-2018,37,68411,0126086,San Diego,Sweetwater Union High,Hawking S.T.E.A.M. Charter,High School District,K-12 Schools (Public),Traditional,N/A,Yes,1407,Directly funded,N,K,12,460,268,58.3%,332,72.2%,449,265,59.0%,328,73.1%,Y
2017-2018,37,68411,0128082,San Diego,Sweetwater Union High,Hawking S.T.E.A.M. Charter School 2,High School District,K-12 Schools (Public),Traditional,N/A,Yes,1524,Directly funded,N,K,6,416,271,65.1%,322,77.4%,401,261,65.1%,310,77.3%,Y
2017-2018,37,68411,3730124,San Diego,Sweetwater Union High,Southwest Senior High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1898,1238,65.2%,1471,77.5%,1805,1171,64.9%,1398,77.5%,Y
2017-2018,37,68411,3730405,San Diego,Sweetwater Union High,Bonita Vista Senior High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2424,742,30.6%,1036,42.7%,2346,702,29.9%,984,41.9%,Y
2017-2018,37,68411,3730801,San Diego,Sweetwater Union High,Castle Park Senior High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1671,1075,64.3%,1301,77.9%,1604,1034,64.5%,1251,78.0%,Y
2017-2018,37,68411,3730843,San Diego,Sweetwater Union High,Eastlake High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,3051,535,17.5%,694,22.7%,2980,521,17.5%,673,22.6%,Y
2017-2018,37,68411,3731064,San Diego,Sweetwater Union High,Chula Vista Senior High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2420,1461,60.4%,1773,73.3%,2329,1419,60.9%,1722,73.9%,Y
2017-2018,37,68411,3731155,San Diego,Sweetwater Union High,Options Secondary,High School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,7,12,133,80,60.2%,99,74.4%,128,78,60.9%,96,75.0%,Y
2017-2018,37,68411,3731304,San Diego,Sweetwater Union High,MAAC Community Charter,High School District,High Schools (Public),Traditional,N/A,Yes,0303,Directly funded,N,9,12,282,178,63.1%,193,68.4%,172,121,70.3%,132,76.7%,Y
2017-2018,37,68411,3731460,San Diego,Sweetwater Union High,Alta Vista Academy,High School District,District Community Day Schools,Community Day School,N/A,No ,N/A,N/A,N,7,12,30,25,83.3%,25,83.3%,26,21,80.8%,21,80.8%,Y
2017-2018,37,68411,3731502,San Diego,Sweetwater Union High,San Ysidro High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2498,1654,66.2%,1966,78.7%,2342,1568,67.0%,1861,79.5%,Y
2017-2018,37,68411,3731627,San Diego,Sweetwater Union High,Otay Ranch Senior High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2429,597,24.6%,784,32.3%,2355,573,24.3%,755,32.1%,Y
2017-2018,37,68411,3732047,San Diego,Sweetwater Union High,Palomar High,High School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,7,12,273,181,66.3%,193,70.7%,157,107,68.2%,116,73.9%,Y
2017-2018,37,68411,3732849,San Diego,Sweetwater Union High,Hilltop Senior High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2141,1009,47.1%,1238,57.8%,2069,976,47.2%,1201,58.0%,Y
2017-2018,37,68411,3733953,San Diego,Sweetwater Union High,Mar Vista Senior High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1649,883,53.5%,1056,64.0%,1581,845,53.4%,1011,63.9%,Y
2017-2018,37,68411,3738226,San Diego,Sweetwater Union High,Sweetwater High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2739,1875,68.5%,2245,82.0%,2625,1799,68.5%,2151,81.9%,Y
2017-2018,37,68411,3738234,San Diego,Sweetwater Union High,Montgomery Senior High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1812,1031,56.9%,1294,71.4%,1749,998,57.1%,1250,71.5%,Y
2017-2018,37,68411,6059745,San Diego,Sweetwater Union High,Bonita Vista Middle,High School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,1141,385,33.7%,554,48.6%,1141,385,33.7%,554,48.6%,Y
2017-2018,37,68411,6059752,San Diego,Sweetwater Union High,Castle Park Middle,High School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,852,656,77.0%,790,92.7%,852,656,77.0%,790,92.7%,Y
2017-2018,37,68411,6059760,San Diego,Sweetwater Union High,Chula Vista Middle,High School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,848,596,70.3%,712,84.0%,848,596,70.3%,712,84.0%,Y
2017-2018,37,68411,6059778,San Diego,Sweetwater Union High,Granger Junior High,High School District,Junior High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,9,978,678,69.3%,825,84.4%,978,678,69.3%,825,84.4%,Y
2017-2018,37,68411,6059786,San Diego,Sweetwater Union High,Mar Vista Academy,High School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,797,590,74.0%,673,84.4%,797,590,74.0%,673,84.4%,Y
2017-2018,37,68411,6059794,San Diego,Sweetwater Union High,National City Middle,High School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,787,626,79.5%,738,93.8%,787,626,79.5%,738,93.8%,Y
2017-2018,37,68411,6062004,San Diego,Sweetwater Union High,Hilltop Middle,High School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,1005,623,62.0%,751,74.7%,1005,623,62.0%,751,74.7%,Y
2017-2018,37,68411,6062012,San Diego,Sweetwater Union High,Southwest Middle,High School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,650,501,77.1%,595,91.5%,650,501,77.1%,595,91.5%,Y
2017-2018,37,68411,6070890,San Diego,Sweetwater Union High,Montgomery Middle,High School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,854,586,68.6%,735,86.1%,854,586,68.6%,735,86.1%,Y
2017-2018,37,68411,6114276,San Diego,Sweetwater Union High,Rancho del Rey Middle,High School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,1708,375,22.0%,505,29.6%,1708,375,22.0%,505,29.6%,Y
